Quote,Author,About-URL,Tags
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,['god']
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,"['death', 'life']"
“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,"['misattributed-mark-twain', 'truth']"
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,"['christianity', 'faith', 'religion', 'sun']"
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,['truth']
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,https://quotes.toscrape.com/author/Jimi-Hendrix,"['death', 'life']"
“To die will be an awfully big adventure.”,J.M. Barrie,https://quotes.toscrape.com/author/J-M-Barrie,"['adventure', 'love']"
“It takes courage to grow up and become who you really are.”,E.E. Cummings,https://quotes.toscrape.com/author/E-E-Cummings,['courage']
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,https://quotes.toscrape.com/author/Khaled-Hosseini,['life']
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,https://quotes.toscrape.com/author/Harper-Lee,['better-life-empathy']
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,https://quotes.toscrape.com/author/Madeleine-LEngle,"['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing']"
“Never tell the truth to people who are not worthy of it.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,['truth']
"“A person's a person, no matter how small.”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,['inspirational']
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,https://quotes.toscrape.com/author/George-R-R-Martin,"['books', 'mind']"
